-5,5,0.25
-5,5,0.25
-5,-5,-3.3763
-5,-4.75,-4.3669
-5,-4.5,-5.3691
-5,-4.25,-6.3059
-5,-4,-7.1039
-5,-3.75,-7.6988
-5,-3.5,-8.0385
-5,-3.25,-8.0872
-5,-3,-7.8267
-5,-2.75,-7.2586
-5,-2.5,-6.403
-5,-2.25,-5.2984
-5,-2,-3.9986
-5,-1.75,-2.5693
-5,-1.5,-1.0847
-5,-1.25,0.37796
-5,-1,1.7426
-5,-0.75,2.9393
-5,-0.5,3.9085
-5,-0.25,4.6048
-5,0,5
-5,0.25,5.0843
-5,0.5,4.8674
-5,0.75,4.3776
-5,1,3.6604
-5,1.25,2.7753
-5,1.5,1.7921
-5,1.75,0.78689
-5,2,-0.16289
-5,2.25,-0.98329
-5,2.5,-1.6084
-5,2.75,-1.9845
-5,3,-2.0732
-5,3.25,-1.8541
-5,3.5,-1.326
-5,3.75,-0.50683
-5,4,0.56748
-5,4.25,1.845
-5,4.5,3.2612
-5,4.75,4.7429
-5,5,6.2129
-4.75,-5,-3.6491
-4.75,-4.75,-4.568
-4.75,-4.5,-5.4981
-4.75,-4.25,-6.3659
-4.75,-4,-7.102
-4.75,-3.75,-7.645
-4.75,-3.5,-7.9457
-4.75,-3.25,-7.9698
-4.75,-3,-7.7003
-4.75,-2.75,-7.1385
-4.75,-2.5,-6.3037
-4.75,-2.25,-5.2322
-4.75,-2,-3.9753
-4.75,-1.75,-2.5954
-4.75,-1.5,-1.1629
-4.75,-1.25,0.24867
-4.75,-1,1.5671
-4.75,-0.75,2.7261
-4.75,-0.5,3.6689
-4.75,-0.25,4.3525
-4.75,0,4.75
-4.75,0.25,4.8522
-4.75,0.5,4.6682
-4.75,0.75,4.225
-4.75,1,3.5657
-4.75,1.25,2.7469
-4.75,1.5,1.8349
-4.75,1.75,0.90209
-4.75,2,0.021888
-4.75,2.25,-0.73542
-4.75,2.5,-1.3072
-4.75,2.75,-1.6424
-4.75,3,-1.7046
-4.75,3.25,-1.4744
-4.75,3.5,-0.95064
-4.75,3.75,-0.15031
-4.75,4,0.89236
-4.75,4.25,2.1281
-4.75,4.5,3.4955
-4.75,4.75,4.9253
-4.75,5,6.3439
-4.5,-5,-3.6112
-4.5,-4.75,-4.4741
-4.5,-4.5,-5.3475
-4.5,-4.25,-6.1619
-4.5,-4,-6.8515
-4.5,-3.75,-7.3583
-4.5,-3.5,-7.6354
-4.5,-3.25,-7.6506
-4.5,-3,-7.3876
-4.5,-2.75,-6.8476
-4.5,-2.5,-6.049
-4.5,-2.25,-5.0262
-4.5,-2,-3.8277
-4.5,-1.75,-2.5128
-4.5,-1.5,-1.148
-4.5,-1.25,0.19704
-4.5,-1,1.4538
-4.5,-0.75,2.5595
-4.5,-0.5,3.4604
-4.5,-0.25,4.1157
-4.5,0,4.5
-4.5,0.25,4.6045
-4.5,0.5,4.4379
-4.5,0.75,4.0257
-4.5,1,3.4089
-4.5,1.25,2.6409
-4.5,1.5,1.7846
-4.5,1.75,0.90857
-4.5,2,0.082399
-4.5,2.25,-0.62734
-4.5,2.5,-1.1613
-4.5,2.75,-1.4712
-4.5,3,-1.5224
-4.5,3.25,-1.2966
-4.5,3.5,-0.7927
-4.5,3.75,-0.026779
-4.5,4,0.96872
